response_id,customer_id,campaign_id,response_type,converted,response_date
R00001,C0939,CAM002,Clicked,False,2024-03-10
R00002,C0294,CAM003,Converted,True,2024-03-19
R00003,C0507,CAM004,Spam,False,2024-04-07
R00004,C0729,CAM002,Converted,False,2024-02-16
R00005,C0376,CAM003,Opened,True,2024-03-29
R00006,C0394,CAM004,Converted,False,2024-04-05
R00007,C0338,CAM003,Spam,False,2024-04-01
R00008,C0032,CAM005,Opened,True,2024-06-09
R00009,C0552,CAM005,Spam,True,2024-05-27
R00010,C0729,CAM005,Converted,True,2024-05-26
R00011,C0152,CAM004,Clicked,False,2024-04-07
R00012,C0987,CAM002,Converted,False,2024-02-13
R00013,C0783,CAM002,Clicked,False,2024-02-21
R00014,C0956,CAM001,Opened,True,2024-02-06
R00015,C0195,CAM001,Spam,True,2024-02-04
R00016,C0858,CAM002,Ignored,True,2024-03-03
R00017,C0044,CAM005,Opened,True,2024-05-31
R00018,C0676,CAM001,Spam,False,2024-01-21
R00019,C0295,CAM002,Opened,False,2024-02-25
R00020,C0632,CAM002,Converted,False,2024-02-19
R00021,C0434,CAM001,Opened,False,2024-02-08
R00022,C0082,CAM001,Converted,False,2024-01-16
R00023,C0834,CAM001,Opened,False,2024-02-11
R00024,C0131,CAM005,Ignored,False,2024-05-31
R00025,C0840,CAM005,Clicked,True,2024-06-05
R00026,C0869,CAM001,Converted,False,2024-02-04
R00027,C0465,CAM004,Clicked,False,2024-04-19
R00028,C0005,CAM005,Spam,True,2024-06-12
R00029,C0567,CAM003,Opened,False,2024-03-17
R00030,C0823,CAM002,Clicked,True,2024-03-08
R00031,C0432,CAM003,Converted,False,2024-03-12
R00032,C0843,CAM004,Spam,True,2024-04-21
R00033,C0816,CAM001,Opened,True,2024-01-25
R00034,C0921,CAM001,Converted,True,2024-02-06
R00035,C0071,CAM002,Converted,False,2024-03-09
R00036,C0983,CAM005,Opened,False,2024-06-04
R00037,C0786,CAM003,Converted,True,2024-03-17
R00038,C0072,CAM004,Converted,False,2024-04-19
R00039,C0561,CAM001,Clicked,False,2024-01-18
R00040,C0911,CAM004,Opened,False,2024-04-10
R00041,C0486,CAM001,Ignored,False,2024-01-16
R00042,C0325,CAM002,Clicked,False,2024-02-13
R00043,C0342,CAM002,Spam,False,2024-02-14
R00044,C0227,CAM002,Ignored,True,2024-03-06
R00045,C0192,CAM002,Converted,False,2024-02-24
R00046,C0108,CAM004,Converted,False,2024-04-16
R00047,C0682,CAM002,Clicked,False,2024-02-21
R00048,C0233,CAM001,Opened,False,2024-01-16
R00049,C0126,CAM004,Opened,False,2024-04-27
R00050,C0119,CAM002,Converted,True,2024-02-13
R00051,C0857,CAM005,Opened,False,2024-06-15
R00052,C0442,CAM002,Spam,True,2024-02-17
R00053,C0123,CAM001,Clicked,False,2024-01-27
R00054,C0410,CAM003,Converted,False,2024-03-11
